q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",1.0,0.01,exponential,1,montecarlo,hebb,0.7280612244897959,0.07136659118494756,0.6093537414965984,-501.346938775509,<HopfieldModel.HopfieldModelnD object at 0x7f8decab42f0>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,montecarlo,local,-0.005102040816326532,0.028223095277427206,0.6093537414965984,14.14285714285714,<HopfieldModel.HopfieldModelnD object at 0x7f8decb97f00>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,montecarlo,turkey,-0.019132653061224504,0.6186540071900003,0.6093537414965984,-12.859694608529793,<HopfieldModel.HopfieldModelnD object at 0x7f8deca72550>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,synchronous,hebb,0.7387755102040816,0.07471659629961014,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8decbeb750>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,synchronous,local,0.4163265306122449,0.10986460373425994,0.6093537414965984,7.066326530612244,<HopfieldModel.HopfieldModelnD object at 0x7f8decb97ce0>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,synchronous,turkey,0.7107142857142856,0.13023302729882658,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8deca6e520>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,asynchronous,hebb,0.7352040816326529,0.07205266711799888,0.6093537414965984,-497.4693877551008,<HopfieldModel.HopfieldModelnD object at 0x7f8e387141a0>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,asynchronous,local,0.3900510204081632,0.10159628939250534,0.6093537414965984,2.841836734693878,<HopfieldModel.HopfieldModelnD object at 0x7f8decbeb890>
0.6,10,"(28, 28)",1.0,0.01,exponential,1,asynchronous,turkey,0.7061224489795919,0.1258343665170662,0.6093537414965984,-23.551274919899157,<HopfieldModel.HopfieldModelnD object at 0x7f8deca6e3f0>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,montecarlo,hebb,0.7260204081632653,0.06528020850653914,0.6093537414965984,-499.1836734693866,<HopfieldModel.HopfieldModelnD object at 0x7f8decaad950>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,montecarlo,local,0.0010204081632653051,0.04556553788115532,0.6093537414965984,37.59183673469387,<HopfieldModel.HopfieldModelnD object at 0x7f8decbf8d10>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,montecarlo,turkey,-0.2602040816326531,0.5527549701807831,0.6093537414965984,-22.041186374239317,<HopfieldModel.HopfieldModelnD object at 0x7f8decaae0d0>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,synchronous,hebb,0.7408163265306121,0.07549641352283229,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8decbf29f0>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,synchronous,local,0.6938775510204082,0.08766012895883483,0.6093537414965984,1.632653061224488,<HopfieldModel.HopfieldModelnD object at 0x7f8decb82b50>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,synchronous,turkey,0.7122448979591837,0.1292126462658309,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e38710e60>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,asynchronous,hebb,0.7387755102040816,0.0726678212477707,0.6093537414965984,-503.6020408163249,<HopfieldModel.HopfieldModelnD object at 0x7f8e38b566c0>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,asynchronous,local,0.6007653061224489,0.1002732756026415,0.6093537414965984,0.8265306122448948,<HopfieldModel.HopfieldModelnD object at 0x7f8deca99640>
0.6,10,"(28, 28)",1.0,0.01,exponential,2,asynchronous,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8decab4050>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,montecarlo,hebb,0.7267857142857144,0.06927746712360418,0.6093537414965984,-500.48979591836587,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8be30>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,montecarlo,local,-0.03290816326530612,0.05752480315416876,0.6093537414965984,73.63265306122447,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8b920>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,montecarlo,turkey,0.2538265306122449,0.5575718917904537,0.6093537414965984,-23.43393723036698,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bf50>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,synchronous,hebb,0.7403061224489795,0.07170863462570863,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8decbf8c50>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,synchronous,local,0.6964285714285714,0.09297760743971901,0.6093537414965984,-2.4285714285714306,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8b9b0>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,synchronous,turkey,0.6836734693877552,0.12716779163892364,0.6093537414965984,-60.98606091971706,<HopfieldModel.HopfieldModelnD object at 0x7f8decbec7e0>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,asynchronous,hebb,0.736734693877551,0.07670727908021535,0.6093537414965984,-489.55102040816246,<HopfieldModel.HopfieldModelnD object at 0x7f8decbec940>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,asynchronous,local,0.7293367346938775,0.09586169895712837,0.6093537414965984,2.188775510204067,<HopfieldModel.HopfieldModelnD object at 0x7f8e38ec6b10>
0.6,10,"(28, 28)",1.0,0.01,exponential,3,asynchronous,turkey,0.7122448979591837,0.12884951300354022,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8b800>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,hebb,0.7346938775510203,0.0618589574131742,0.6093537414965984,-500.5918367346926,<HopfieldModel.HopfieldModelnD object at 0x7f8decb8bda0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,local,0.10204081632653061,0.10117618375026502,0.6093537414965984,97.90306122448979,<HopfieldModel.HopfieldModelnD object at 0x7f8e3873c560>
