q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,hebb,0.7280612244897959,0.07136659118494756,0.6093537414965984,-501.346938775509,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6690>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,local,0.011479591836734694,0.07771406397348747,0.6093537414965984,87.15816326530611,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6ba0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,montecarlo,turkey,-0.019132653061224504,0.6186540071900003,0.6093537414965984,-12.859694608529793,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d69f0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,hebb,0.7387755102040816,0.07471659629961014,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e388da690>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,local,0.705357142857143,0.119996973878962,0.6093537414965984,-14.158163265306115,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6330>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,synchronous,turkey,0.7107142857142856,0.13023302729882658,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d56d0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,hebb,0.7352040816326529,0.07205266711799888,0.6093537414965984,-497.4693877551008,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d5fd0>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,local,0.6691326530612246,0.16325753329711637,0.6093537414965984,-12.346938775510182,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6060>
0.6,10,"(28, 28)",1.0,0.01,exponential,4,asynchronous,turkey,0.7063775510204081,0.137917751673134,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6210>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,montecarlo,hebb,0.7260204081632653,0.06528020850653914,0.6093537414965984,-499.1836734693866,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6720>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,montecarlo,local,0.12270408163265305,0.43901341734876953,0.6093537414965984,51.943877551020364,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d68d0>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,montecarlo,turkey,0.48647959183673467,0.3786921702221852,0.6093537414965984,-34.29623214792085,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6cc0>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,synchronous,hebb,0.7387755102040816,0.07688015414130837,0.6093537414965984,-504.4285714285702,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d62a0>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,synchronous,local,0.7058673469387755,0.09226127778087222,0.6093537414965984,-18.897959183673493,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d64e0>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,synchronous,turkey,0.7122448979591837,0.1292126462658309,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d5eb0>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,asynchronous,hebb,0.7341836734693878,0.0763245525226598,0.6093537414965984,-504.48979591836587,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6450>
0.6,10,"(28, 28)",1.0,0.01,exponential,5,asynchronous,local,0.6767857142857144,0.11647887669960237,0.6093537414965984,-2.0357142857143344,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d6570>
