q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",0.1,0.01,exponential,4,montecarlo,local,0.5668367346938775,0.2312491205787166,0.6093537414965984,-8.770408163265301,<HopfieldModel.HopfieldModelnD object at 0x7fea019423f0>
0.6,10,"(28, 28)",0.1,0.01,classic,4,montecarlo,local,0.6193877551020408,0.23624652782112698,0.6093537414965984,-7.892857142857139,<HopfieldModel.HopfieldModelnD object at 0x7fea01aaff00>
0.6,10,"(28, 28)",0.1,0.01,logarithmic,4,montecarlo,local,0.6089285714285715,0.22878272963722204,0.6093537414965984,-4.933673469387756,<HopfieldModel.HopfieldModelnD object at 0x7fea0193a650>
0.6,10,"(28, 28)",0.1,0.00545559478116852,exponential,4,montecarlo,local,0.6063775510204081,0.19391128197443264,0.6093537414965984,-7.295918367346928,<HopfieldModel.HopfieldModelnD object at 0x7fea01aafdf0>
0.6,10,"(28, 28)",0.1,0.00545559478116852,classic,4,montecarlo,local,0.5714285714285714,0.21300944030169802,0.6093537414965984,-6.673469387755091,<HopfieldModel.HopfieldModelnD object at 0x7fea018e7890>
0.6,10,"(28, 28)",0.1,0.00545559478116852,logarithmic,4,montecarlo,local,0.6673469387755102,0.2141587330278913,0.6093537414965984,-5.505102040816325,<HopfieldModel.HopfieldModelnD object at 0x7fea018e7750>
0.6,10,"(28, 28)",0.1,0.002976351441631319,exponential,4,montecarlo,local,0.5474489795918368,0.2665351243484685,0.6093537414965984,-8.030612244897952,<HopfieldModel.HopfieldModelnD object at 0x7fea458a41a0>
0.6,10,"(28, 28)",0.1,0.002976351441631319,classic,4,montecarlo,local,0.5727040816326531,0.26476654805462685,0.6093537414965984,-7.535714285714292,<HopfieldModel.HopfieldModelnD object at 0x7fea0193a850>
0.6,10,"(28, 28)",0.1,0.002976351441631319,logarithmic,4,montecarlo,local,0.5897959183673469,0.2415637182763695,0.6093537414965984,-5.5,<HopfieldModel.HopfieldModelnD object at 0x7fea01906c30>
0.6,10,"(28, 28)",0.1,0.001623776739188721,exponential,4,montecarlo,local,0.5989795918367347,0.22483102544836853,0.6093537414965984,-5.73469387755101,<HopfieldModel.HopfieldModelnD object at 0x7fea01942520>
0.6,10,"(28, 28)",0.1,0.001623776739188721,classic,4,montecarlo,local,0.5852040816326531,0.20338593154686735,0.6093537414965984,-12.045918367346928,<HopfieldModel.HopfieldModelnD object at 0x7fea0193e210>
0.6,10,"(28, 28)",0.1,0.001623776739188721,logarithmic,4,montecarlo,local,0.667091836734694,0.10023432822110329,0.6093537414965984,-0.8877551020408134,<HopfieldModel.HopfieldModelnD object at 0x7fea0193e3f0>
0.6,10,"(28, 28)",0.1,0.0008858667904100832,exponential,4,montecarlo,local,0.6193877551020408,0.13936978848561102,0.6093537414965984,-11.392857142857139,<HopfieldModel.HopfieldModelnD object at 0x7fea458b0130>
0.6,10,"(28, 28)",0.1,0.0008858667904100832,classic,4,montecarlo,local,0.6392857142857143,0.17669274140337438,0.6093537414965984,-4.954081632653072,<HopfieldModel.HopfieldModelnD object at 0x7fea018ece90>
0.6,10,"(28, 28)",0.1,0.0008858667904100832,logarithmic,4,montecarlo,local,0.6191326530612246,0.11176293790823152,0.6093537414965984,-10.974489795918373,<HopfieldModel.HopfieldModelnD object at 0x7fea01958890>
0.6,10,"(28, 28)",0.1,0.0004832930238571752,exponential,4,montecarlo,local,0.6969387755102041,0.09905583009622224,0.6093537414965984,-10.66326530612244,<HopfieldModel.HopfieldModelnD object at 0x7fea019587e0>
0.6,10,"(28, 28)",0.1,0.0004832930238571752,classic,4,montecarlo,local,0.6278061224489796,0.10753965639145871,0.6093537414965984,-8.505102040816354,<HopfieldModel.HopfieldModelnD object at 0x7fea01961cc0>
0.6,10,"(28, 28)",0.1,0.0004832930238571752,logarithmic,4,montecarlo,local,0.6920918367346939,0.08507605253361376,0.6093537414965984,-10.994897959183675,<HopfieldModel.HopfieldModelnD object at 0x7fea018ecf50>
0.6,10,"(28, 28)",0.1,0.00026366508987303583,exponential,4,montecarlo,local,0.6961734693877552,0.1047997560054833,0.6093537414965984,-8.862244897959187,<HopfieldModel.HopfieldModelnD object at 0x7fea0197da90>
0.6,10,"(28, 28)",0.1,0.00026366508987303583,classic,4,montecarlo,local,0.653061224489796,0.12843570743932312,0.6093537414965984,-12.030612244897952,<HopfieldModel.HopfieldModelnD object at 0x7fea458b0050>
0.6,10,"(28, 28)",0.1,0.00026366508987303583,logarithmic,4,montecarlo,local,0.6344387755102041,0.1522899359574335,0.6093537414965984,-10.744897959183675,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa7920>
0.6,10,"(28, 28)",0.1,0.0001438449888287663,exponential,4,montecarlo,local,0.6752551020408163,0.12270938509477325,0.6093537414965984,-9.551020408163282,<HopfieldModel.HopfieldModelnD object at 0x7fea0197dbd0>
0.6,10,"(28, 28)",0.1,0.0001438449888287663,classic,4,montecarlo,local,0.6076530612244898,0.2024771108664458,0.6093537414965984,-3.306122448979579,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa7800>
0.6,10,"(28, 28)",0.1,0.0001438449888287663,logarithmic,4,montecarlo,local,0.6711734693877551,0.12498151675092908,0.6093537414965984,-10.408163265306115,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa7ad0>
0.6,10,"(28, 28)",0.1,7.847599703514623e-05,exponential,4,montecarlo,local,0.585969387755102,0.23932881666540695,0.6093537414965984,-2.3112244897959187,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa79b0>
0.6,10,"(28, 28)",0.1,7.847599703514623e-05,classic,4,montecarlo,local,0.6568877551020409,0.12178417532777627,0.6093537414965984,-11.494897959183703,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa7c80>
0.6,10,"(28, 28)",0.1,7.847599703514623e-05,logarithmic,4,montecarlo,local,0.5122448979591836,0.2790279954426312,0.6093537414965984,-4.2704081632653015,<HopfieldModel.HopfieldModelnD object at 0x7fea01aa7b60>
0.6,10,"(28, 28)",0.1,4.281332398719396e-05,exponential,4,montecarlo,local,0.7084183673469389,0.06875508765393809,0.6093537414965984,-9.515306122448976,<HopfieldModel.HopfieldModelnD object at 0x7fea6e68fa40>
