q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.001,1e-07,exponential,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,1e-07,classic,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,1e-07,logarithmic,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,1.7782794100389227e-07,exponential,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,1.7782794100389227e-07,classic,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,1.7782794100389227e-07,logarithmic,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,3.162277660168379e-07,exponential,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,3.162277660168379e-07,classic,4,montecarlo,local,0.8178571428571428,0.07267677611123466,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,3.162277660168379e-07,logarithmic,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,5.62341325190349e-07,exponential,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,5.62341325190349e-07,classic,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,5.62341325190349e-07,logarithmic,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,1e-06,exponential,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,1e-06,classic,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,1e-06,logarithmic,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,1.778279410038923e-06,exponential,4,montecarlo,local,0.8380102040816327,0.06392075297891199,0.6093537414965984,-10.637755102040813
0.75,10,"(28, 28)",0.001,1.778279410038923e-06,classic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
