q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,montecarlo,hebb,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f99662c0>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,montecarlo,turkey,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f990fac0>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,montecarlo,local,0.006802721088435372,0.04588686245997293,0.047619047619047616,1.5408163265306123,<HopfieldModel.HopfieldModelnD object at 0x7f083d85cb00>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,synchronous,hebb,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f98e3b60>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,synchronous,turkey,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f993f610>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,synchronous,local,-0.8843537414965986,0.050906903221414175,0.047619047619047616,-0.09183673469387732,<HopfieldModel.HopfieldModelnD object at 0x7f07f993f750>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,asynchronous,hebb,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f9966650>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,asynchronous,turkey,-1.0,0.0,0.047619047619047616,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f996e210>
0.0,3,"(14, 14)",0.1,0.0001,exponential,1,asynchronous,local,-0.8979591836734695,0.03818017741606067,0.054421768707483,-0.07142857142857162,<HopfieldModel.HopfieldModelnD object at 0x7f07f9903890>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,montecarlo,hebb,-1.0,0.0,0.054421768707483,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f97b5a90>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,montecarlo,turkey,-1.0,0.0,0.054421768707483,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f97be350>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,montecarlo,local,0.027210884353741496,0.01272672580535354,0.06122448979591836,1.0918367346938775,<HopfieldModel.HopfieldModelnD object at 0x7f07f9903770>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,synchronous,hebb,-1.0,0.0,0.05442176870748299,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f990fdf0>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,synchronous,turkey,-1.0,0.0,0.05442176870748299,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f97be250>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,synchronous,local,-0.8469387755102041,0.046388373118999515,0.06122448979591836,-0.40816326530612246,<HopfieldModel.HopfieldModelnD object at 0x7f07f97b5e50>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,asynchronous,hebb,-1.0,0.0,0.06802721088435375,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f9927850>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,asynchronous,turkey,-1.0,0.0,0.06802721088435375,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f97f8050>
0.0,3,"(14, 14)",0.1,0.0001,classic,1,asynchronous,local,-0.8775510204081632,0.03631659269398404,0.09523809523809523,-0.16326530612244894,<HopfieldModel.HopfieldModelnD object at 0x7f07f9903920>
0.0,3,"(14, 14)",0.1,0.0001,logarithmic,1,montecarlo,hebb,-1.0,0.0,0.10204081632653061,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f9929650>
0.0,3,"(14, 14)",0.1,0.0001,logarithmic,1,montecarlo,turkey,-1.0,0.0,0.09523809523809523,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f07f97a8d10>
