q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.75,4,"(np.int64(6), np.int64(6))",,,,,synchronous,turkey,0.8611111111111112,0.24056261216234406,0.1574074074074074,1.332228318853831,<HopfieldModel.HopfieldModelnD object at 0x7fb2dbfb4050>
0.75,4,"(np.int64(8), np.int64(8))",,,,,synchronous,turkey,1.0,0.0,0.052083333333333336,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb298443250>
0.75,4,"(np.int64(10), np.int64(10))",,,,,synchronous,turkey,1.0,0.0,0.06,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb298443110>
0.75,4,"(np.int64(12), np.int64(12))",,,,,synchronous,turkey,1.0,0.0,0.06712962962962962,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2982923f0>
0.75,4,"(np.int64(14), np.int64(14))",,,,,synchronous,turkey,1.0,0.0,0.06122448979591837,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb29827cad0>
0.75,4,"(np.int64(16), np.int64(16))",,,,,synchronous,turkey,1.0,0.0,0.07942708333333333,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb29829a050>
0.75,4,"(np.int64(18), np.int64(18))",,,,,synchronous,turkey,1.0,0.0,0.052469135802469126,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb298292190>
0.75,4,"(np.int64(20), np.int64(20))",,,,,synchronous,turkey,1.0,0.0,0.013333333333333334,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb298289a90>
0.75,4,"(np.int64(22), np.int64(22))",,,,,synchronous,turkey,1.0,0.0,0.03581267217630854,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb29844a0f0>
0.75,4,"(np.int64(24), np.int64(24))",,,,,synchronous,turkey,1.0,0.0,0.026041666666666668,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb29829a450>
0.75,4,"(np.int64(26), np.int64(26))",,,,,synchronous,turkey,1.0,0.0,0.02514792899408284,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2983e3800>
0.75,4,"(np.int64(28), np.int64(28))",,,,,synchronous,turkey,1.0,0.0,0.0272108843537415,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2983e3920>
0.75,4,"(np.int64(30), np.int64(30))",,,,,synchronous,turkey,1.0,0.0,0.034074074074074076,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2983e3d10>
0.75,4,"(np.int64(32), np.int64(32))",,,,,synchronous,turkey,1.0,0.0,0.021484375,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2983e3a40>
