q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.75,4,"(6, 6)",,,,,synchronous,turkey,0.8611111111111112,0.24056261216234406,0.1574074074074074,1.332228318853831,<HopfieldModel.HopfieldModelnD object at 0x7fb29ff83a40>
0.75,4,"(7, 7)",,,,,synchronous,turkey,1.0,0.0,0.10204081632653061,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb29ff83d10>
0.75,4,"(8, 8)",,,,,synchronous,turkey,1.0,0.0,0.052083333333333336,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a11670b0>
0.75,4,"(9, 9)",,,,,synchronous,turkey,1.0,0.0,0.09465020576131687,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c97f0>
0.75,4,"(10, 10)",,,,,synchronous,turkey,1.0,0.0,0.06,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9880>
0.75,4,"(11, 11)",,,,,synchronous,turkey,1.0,0.0,0.1019283746556474,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9640>
0.75,4,"(12, 12)",,,,,synchronous,turkey,1.0,0.0,0.06712962962962962,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c95b0>
0.75,4,"(13, 13)",,,,,synchronous,turkey,1.0,0.0,0.05128205128205129,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c96d0>
0.75,4,"(14, 14)",,,,,synchronous,turkey,1.0,0.0,0.06122448979591837,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9760>
0.75,4,"(15, 15)",,,,,synchronous,turkey,1.0,0.0,0.060740740740740734,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c99a0>
0.75,4,"(16, 16)",,,,,synchronous,turkey,1.0,0.0,0.06380208333333333,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9910>
0.75,4,"(17, 17)",,,,,synchronous,turkey,1.0,0.0,0.05305651672433679,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9a30>
0.75,4,"(18, 18)",,,,,synchronous,turkey,1.0,0.0,0.040123456790123455,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a10c9ac0>
0.75,4,"(19, 19)",,,,,synchronous,turkey,1.0,0.0,0.04524469067405356,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1880>
0.75,4,"(20, 20)",,,,,synchronous,turkey,1.0,0.0,0.0425,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1b50>
0.75,4,"(21, 21)",,,,,synchronous,turkey,1.0,0.0,0.06198034769463342,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e31d0>
0.75,4,"(22, 22)",,,,,synchronous,turkey,1.0,0.0,0.03168044077134987,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1a30>
0.75,4,"(23, 23)",,,,,synchronous,turkey,1.0,0.0,0.019533711405166982,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3140>
0.75,4,"(24, 24)",,,,,synchronous,turkey,1.0,0.0,0.048032407407407406,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3260>
0.75,4,"(25, 25)",,,,,synchronous,turkey,1.0,0.0,0.03466666666666667,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3380>
0.75,4,"(26, 26)",,,,,synchronous,turkey,1.0,0.0,0.044378698224852076,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e34a0>
0.75,6,"(6, 6)",,,,,synchronous,turkey,0.75,0.3625328138972573,0.14074074074074075,-2.2193143559209805,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b3f50>
0.75,6,"(7, 7)",,,,,synchronous,turkey,1.0,0.0,0.11020408163265306,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b3ec0>
0.75,6,"(8, 8)",,,,,synchronous,turkey,0.9375,0.13975424859373686,0.10625,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b3da0>
0.75,6,"(9, 9)",,,,,synchronous,turkey,1.0,0.0,0.09465020576131686,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b2180>
0.75,6,"(10, 10)",,,,,synchronous,turkey,1.0,0.0,0.09066666666666666,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1d00>
0.75,6,"(11, 11)",,,,,synchronous,turkey,1.0,0.0,0.07107438016528926,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b20f0>
0.75,6,"(12, 12)",,,,,synchronous,turkey,1.0,0.0,0.04351851851851852,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1910>
0.75,6,"(13, 13)",,,,,synchronous,turkey,1.0,0.0,0.05167652859960552,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b1c70>
0.75,6,"(14, 14)",,,,,synchronous,turkey,1.0,0.0,0.06870748299319729,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a03b24e0>
0.75,6,"(15, 15)",,,,,synchronous,turkey,1.0,0.0,0.041185185185185186,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e30b0>
0.75,6,"(16, 16)",,,,,synchronous,turkey,1.0,0.0,0.0640625,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3020>
0.75,6,"(17, 17)",,,,,synchronous,turkey,1.0,0.0,0.03806228373702423,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e32f0>
0.75,6,"(18, 18)",,,,,synchronous,turkey,1.0,0.0,0.03045267489711934,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3410>
0.75,6,"(19, 19)",,,,,synchronous,turkey,1.0,0.0,0.0481994459833795,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e3530>
0.75,6,"(20, 20)",,,,,synchronous,turkey,1.0,0.0,0.03766666666666666,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e0320>
0.75,6,"(21, 21)",,,,,synchronous,turkey,1.0,0.0,0.043688586545729394,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e0170>
0.75,6,"(22, 22)",,,,,synchronous,turkey,1.0,0.0,0.032782369146005505,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e03b0>
0.75,6,"(23, 23)",,,,,synchronous,turkey,1.0,0.0,0.038437303087586645,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e0710>
0.75,6,"(24, 24)",,,,,synchronous,turkey,1.0,0.0,0.027546296296296298,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e0b00>
0.75,6,"(25, 25)",,,,,synchronous,turkey,1.0,0.0,0.04362666666666666,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e0b90>
0.75,6,"(26, 26)",,,,,synchronous,turkey,1.0,0.0,0.03668639053254438,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e11c0>
0.75,8,"(6, 6)",,,,,synchronous,turkey,0.9375,0.11599509089229212,0.10317460317460314,0.0,<HopfieldModel.HopfieldModelnD object at 0x7fb2a06e00e0>
