q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.75,10,"(10, 10)",0.001,1.0000002302585358,exponential,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b7bcec0>
0.75,10,"(10, 10)",0.001,1.0000002302585358,classic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba279d0>
0.75,10,"(10, 10)",0.001,1.0000002302585358,logarithmic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba668b0>
0.75,10,"(10, 10)",0.001,1.0047104382082794,exponential,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba66b10>
0.75,10,"(10, 10)",0.001,1.0047104382082794,classic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b96e650>
0.75,10,"(10, 10)",0.001,1.0047104382082794,logarithmic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba27890>
0.75,10,"(10, 10)",0.001,1.0094428322118445,exponential,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b96e450>
0.75,10,"(10, 10)",0.001,1.0094428322118445,classic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b7c08d0>
0.75,10,"(10, 10)",0.001,1.0094428322118445,logarithmic,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b7c06b0>
0.75,10,"(10, 10)",0.001,1.0141975167701338,exponential,,montecarlo,turkey,0.9179999999999999,0.22635370551417974,0.08088888888888893,3.0910740098792715,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba17ad0>
0.75,10,"(10, 10)",0.001,1.0141975167701338,classic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b956d00>
0.75,10,"(10, 10)",0.001,1.0141975167701338,logarithmic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b77c590>
0.75,10,"(10, 10)",0.001,1.0189745968762713,exponential,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b87e190>
0.75,10,"(10, 10)",0.001,1.0189745968762713,classic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b87da90>
0.75,10,"(10, 10)",0.001,1.0189745968762713,logarithmic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b9bbb70>
0.75,10,"(10, 10)",0.001,1.0237741780179204,exponential,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b77c890>
0.75,10,"(10, 10)",0.001,1.0237741780179204,classic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b7759a0>
0.75,10,"(10, 10)",0.001,1.0237741780179204,logarithmic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b9bbac0>
0.75,10,"(10, 10)",0.001,1.0285963661796127,exponential,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b775a90>
0.75,10,"(10, 10)",0.001,1.0285963661796127,classic,,montecarlo,turkey,0.908,0.276,0.07200000000000002,0.0,<HopfieldModel.HopfieldModelnD object at 0x7f2e4ee84550>
0.75,10,"(10, 10)",0.001,1.0285963661796127,logarithmic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1acc0>
0.75,10,"(10, 10)",0.001,1.0334412678450895,exponential,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0b7afc50>
0.75,10,"(10, 10)",0.001,1.0334412678450895,classic,,montecarlo,turkey,0.8300000000000001,0.3281767816284388,0.06933333333333337,7.332220953143278,<HopfieldModel.HopfieldModelnD object at 0x7f2e0ba1ade0>
