q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(10, 10)",0.001,1e-07,exponential,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,1e-07,classic,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,1e-07,logarithmic,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,1.7782794100389227e-07,exponential,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,1.7782794100389227e-07,classic,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,1.7782794100389227e-07,logarithmic,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,3.162277660168379e-07,exponential,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,3.162277660168379e-07,classic,,montecarlo,turkey,0.7096938775510203,0.12608752240787124,0.6093537414965984,-23.833969300774925
0.75,10,"(10, 10)",0.001,3.162277660168379e-07,logarithmic,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,5.62341325190349e-07,exponential,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,5.62341325190349e-07,classic,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,5.62341325190349e-07,logarithmic,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,1e-06,exponential,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,1e-06,classic,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,1e-06,logarithmic,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,1.778279410038923e-06,exponential,,montecarlo,turkey,0.7130102040816326,0.1291544623936197,0.6093537414965984,-23.706700123745577
0.75,10,"(10, 10)",0.001,1.778279410038923e-06,classic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,1.778279410038923e-06,logarithmic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,3.162277660168379e-06,exponential,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,3.162277660168379e-06,classic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,3.162277660168379e-06,logarithmic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,5.623413251903491e-06,exponential,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,5.623413251903491e-06,classic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,5.623413251903491e-06,logarithmic,,montecarlo,turkey,0.7127551020408165,0.12793920522355978,0.6093537414965984,-23.29526610297367
0.75,10,"(10, 10)",0.001,1e-05,exponential,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,1e-05,classic,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,1e-05,logarithmic,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,1.778279410038923e-05,exponential,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,1.778279410038923e-05,classic,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,1.778279410038923e-05,logarithmic,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,3.1622776601683795e-05,exponential,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,3.1622776601683795e-05,classic,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,3.1622776601683795e-05,logarithmic,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,5.623413251903491e-05,exponential,,montecarlo,turkey,0.7125,0.1290576831053197,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,5.623413251903491e-05,classic,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,5.623413251903491e-05,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.0001,exponential,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.0001,classic,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.0001,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.00017782794100389227,exponential,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.00017782794100389227,classic,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.00017782794100389227,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.00031622776601683794,exponential,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.00031622776601683794,classic,,montecarlo,turkey,0.7127551020408164,0.12865946937060455,0.6093537414965984,-24.49190113940469
